Store,Type,Date,Name,Debit,Credit,Balance,Email,Email 2,Email 3,Email 4,Email 5,Email 6,
CA001,Deposit,3-Jul-18,Safeway Insurance,,36.86,974.12,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA001,Deposit,5-Jul-18,Commerce West Insurance,,257.78,"75,860.82",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA001,Deposit,5-Jul-18,Infinity Insurance,,"9,456.27","417,240.79",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA001,Deposit,5-Jul-18,Bristol West,12.91,,"449,623.02",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA001,Deposit,6-Jul-18,Progressive Insurance,,146.51,"589,766.63",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA001,Deposit,6-Jul-18,Aspire Insurance,,80.56,"604,004.06",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA001,Deposit,9-Jul-18,Bridger/SCJ Insurance Services,,27.08,"712,258.40",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA001,Deposit,9-Jul-18,Kemper AUIS/Alliance United,,"29,851.63","883,473.11",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA001,Deposit,10-Jul-18,Multi-State Insurance Services (C),,214.99,"1,758,538.62",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA001,Deposit,10-Jul-18,Reliant General,,37.84,"1,778,139.94",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA001,Deposit,10-Jul-18,Workmen's Auto Insurance Company,,243.45,"1,786,880.39",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA001,Deposit,10-Jul-18,CGIA/Carnegie,,31.12,"1,969,466.88",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA001,Deposit,13-Jul-18,"Sun Coast General Insurance Agency, Inc.",,44.05,"2,064,653.93",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA001,Deposit,13-Jul-18,"Sun Coast General Insurance Agency, Inc.",,48.89,"2,064,746.91",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA001,Deposit,16-Jul-18,"Sun Coast General Insurance Agency, Inc.",,10.00,"2,085,035.42",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA001,Deposit,16-Jul-18,"Tapco Underwriters, Inc.",,130.35,"2,086,278.51",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA001,Deposit,16-Jul-18,McGraw Insurance Services,,82.64,"2,088,835.94",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA001,Deposit,17-Jul-18,"Legacy Insurance Services, Inc.",,176.10,"2,115,913.42",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA001,Deposit,18-Jul-18,"Shaw, Moses, Mendenhall & Associates",,48.69,"2,118,925.84",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA001,Deposit,19-Jul-18,Bristol West,,76.35,"2,122,253.84",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA002,Deposit,5-Jul-18,Kemper Specialty (C),,"1,073.10","132,073.04",fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA002,Deposit,5-Jul-18,Infinity Insurance,,"1,128.48","135,437.54",fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA002,Deposit,5-Jul-18,Commerce West Insurance,,"1,583.08","164,323.66",fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA002,Deposit,6-Jul-18,Progressive Insurance,,783.22,"596,363.29",fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA002,Deposit,6-Jul-18,Bridger/SCJ Insurance Services,,5.88,"670,188.35",fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA002,Deposit,9-Jul-18,Kemper AUIS/Alliance United,,"18,180.10","1,092,909.01",fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA002,Deposit,9-Jul-18,Bridger/SCJ Insurance Services,,"1,929.00","1,743,874.17",fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA002,Deposit,10-Jul-18,Multi-State Insurance Services (C),,20.51,"1,750,933.85",fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA002,Deposit,10-Jul-18,Reliant General,,611.85,"1,801,723.98",fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA002,Deposit,10-Jul-18,Anchor General,,82.76,"1,814,350.10",fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA002,Deposit,10-Jul-18,Anchor General,,858.67,"1,839,604.90",fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA002,Deposit,10-Jul-18,Anchor General,,910.28,"1,844,000.93",fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA002,Deposit,10-Jul-18,Aegis General Insurance Agency (AGIA),0.09,,"1,868,373.38",fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA002,Deposit,10-Jul-18,CGIA/Carnegie,,126.12,"1,971,712.38",fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA002,Deposit,16-Jul-18,McGraw Insurance Services,,127.44,"2,091,964.05",fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA002,Deposit,17-Jul-18,"Legacy Insurance Services, Inc.",,76.35,"2,114,870.90",fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA002,Bill,20-Jul-18,National General Insurance,11.55,,"2,119,374.09",fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA002,Deposit,25-Jul-18,Fiesta Insurance Franchise Corporation,,5.10,"2,124,466.86",fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA003,Deposit,5-Jul-18,Infinity Insurance,,"2,890.26","219,109.40",fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA003,Deposit,9-Jul-18,Kemper AUIS/Alliance United,,"17,110.05","731,211.66",fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA003,Deposit,10-Jul-18,Multi-State Insurance Services (C),,941.34,"1,769,812.63",fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA003,Deposit,10-Jul-18,Reliant General,,26.32,"1,777,940.86",fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA003,Deposit,10-Jul-18,Workmen's Auto Insurance Company,,197.10,"1,780,397.16",fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA003,Deposit,10-Jul-18,CGIA/Carnegie,,331.95,"1,976,610.33",fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA003,Deposit,10-Jul-18,Workmen's Auto Insurance Company,104.85,,"2,037,853.86",fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA003,Deposit,13-Jul-18,"Sun Coast General Insurance Agency, Inc.",,252.53,"2,067,547.09",fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA003,Deposit,13-Jul-18,"Sun Coast General Insurance Agency, Inc.",,264.94,"2,067,812.03",fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA003,Deposit,16-Jul-18,"Cabrillo Pacific Ins Services, LLC",,46.97,"2,082,290.85",fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA003,Deposit,16-Jul-18,McGraw Insurance Services,,13.12,"2,093,040.32",fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA004,Deposit,3-Jul-18,Safeway Insurance,,11.96,664.29,fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA004,Deposit,5-Jul-18,Kemper Specialty (C),,59.88,"69,403.44",fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA004,Deposit,5-Jul-18,Foremost Insurance,,447.82,"87,874.75",fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,
