Store,Date,Total_Premium,Total_Charges,Credit_Card_Fee,State_Fee,Total_Deposit
Fiesta Auto Ins Center #CA001,01/27/2017,3648.3600,225.0000,15,15,3453.3600
Fiesta Auto Ins Center #CA001,01/28/2017,2251.5000,125.0000,25,15,2166.5000
Fiesta Auto Ins Center #CA001,01/29/2017,1042.0500,704.7000,20,30,387.3500
Fiesta Auto Ins Center #CA002,01/27/2017,3393.3900,0.0000,0,15,3408.3900
Fiesta Auto Ins Center #CA002,01/28/2017,3382.5400,846.0000,10,90,2636.5400
Fiesta Auto Ins Center #CA002,01/29/2017,4136.7200,690.0000,0,45,3491.7200
Fiesta Auto Ins Center #CA003,01/27/2017,945.1900,398.4300,20,0,566.7600
Fiesta Auto Ins Center #CA003,01/28/2017,2951.4700,514.4700,10,15,2462.0000
Fiesta Auto Ins Center #CA003,01/29/2017,860.7000,179.9500,5,0,685.7500
Fiesta Auto Ins Center #CA004,01/27/2017,3948.2900,866.0000,5,30,3117.2900
Fiesta Auto Ins Center #CA004,01/28/2017,2313.7400,212.0000,5,45,2151.7400
Fiesta Auto Ins Center #CA004,01/29/2017,414.9400,150.5100,0,15,279.4300
Fiesta Auto Ins Center #CA005,01/27/2017,2389.8100,953.4400,15,90,1541.3700
Fiesta Auto Ins Center #CA005,01/28/2017,1059.1300,0.0000,0,0,1059.1300
Fiesta Auto Ins Center #CA006,01/27/2017,5995.9900,652.0000,10,90,5443.9900
Fiesta Auto Ins Center #CA006,01/28/2017,3943.0800,384.0000,5,30,3594.0800
Fiesta Auto Ins Center #CA006,01/29/2017,6671.8300,960.0000,0,90,5801.8300
Fiesta Auto Ins Center #CA007,01/27/2017,269.9500,125.0000,5,15,164.9500
Fiesta Auto Ins Center #CA007,01/28/2017,816.1000,138.0000,5,0,683.1000
Fiesta Auto Ins Center #CA008,01/27/2017,941.5200,0.0000,0,15,956.5200
Fiesta Auto Ins Center #CA008,01/28/2017,777.0800,75.0000,5,0,707.0800
Fiesta Auto Ins Center #CA009,01/27/2017,2154.6800,1238.0000,15,30,961.6800
Fiesta Auto Ins Center #CA009,01/28/2017,1924.1200,250.0000,10,30,1714.1200
Fiesta Auto Ins Center #CA009,01/29/2017,1172.5200,0.0000,0,30,1202.5200
Fiesta Auto Ins Center #CA010,01/27/2017,1103.9000,80.6500,5,0,1028.2500
Fiesta Auto Ins Center #CA010,01/28/2017,1841.5600,276.8300,10,15,1589.7300
