Store,Report Date,End of Day Deposit,Actual Deposit,Deposit Over/(Short),Date Deposit Made,End of Day Credit Cards,Actual Credit Cards,Over/(Short) Credit Cards,VOID Credits,Payout To/(From),Payout Check,Scanning Violation Fees,Deposit Violation Fees,A/R Violation Fees,Violation Fees Total,Comments,Email,Email 2,Email 3,Email 4,Email 5,Email 6,Email Store,Month Number
CA001,20-Jul-18,"4,482.01",0.00,,,961.48,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA001@fiestainsurance.com,7
CA001,21-Jul-18,"4,323.91",0.00,,,418.31,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA001@fiestainsurance.com,7
CA002,20-Jul-18,"4,733.01",0.00,,,220.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA002@fiestainsurance.com,7
CA002,21-Jul-18,"2,976.62",0.00,,,395.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA002@fiestainsurance.com,7
CA002,22-Jul-18,"4,723.17",0.00,,,"1,224.00",0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA002@fiestainsurance.com,7
CA003,20-Jul-18,"3,902.06",0.00,,,670.56,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA003@fiestainsurance.com,7
CA003,21-Jul-18,"3,520.37",0.00,,,379.56,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA003@fiestainsurance.com,7
CA003,22-Jul-18,"1,167.73",0.00,,,50.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA003@fiestainsurance.com,7
CA004,20-Jul-18,"1,304.01",0.00,,,"1,564.63",0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA004@fiestainsurance.com,7
CA004,21-Jul-18,"1,384.68",0.00,,,932.50,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA004@fiestainsurance.com,7
CA005,20-Jul-18,"1,513.12",0.00,,,391.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA005@fiestainsurance.com,7
CA005,21-Jul-18,898.81,0.00,,,315.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA005@fiestainsurance.com,7
CA006,20-Jul-18,"8,146.05",0.00,,,55.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA006@fiestainsurance.com,7
CA006,21-Jul-18,"7,722.85",0.00,,,323.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA006@fiestainsurance.com,7
CA006,22-Jul-18,"11,095.60",0.00,,,216.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA006@fiestainsurance.com,7
CA007,20-Jul-18,"1,701.12",0.00,,,160.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca007@fiestainsurance.com,fiestaca015@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA007@fiestainsurance.com,7
CA007,21-Jul-18,"1,349.39",0.00,,,385.18,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca007@fiestainsurance.com,fiestaca015@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA007@fiestainsurance.com,7
CA008,20-Jul-18,650.16,0.00,,,362.56,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA008@fiestainsurance.com,7
CA008,21-Jul-18,523.04,0.00,,,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA008@fiestainsurance.com,7
CA009,20-Jul-18,"1,887.27",0.00,,,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca009@fiestainsurance.com,fiestaca009@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA009@fiestainsurance.com,7
CA009,21-Jul-18,"2,109.60",0.00,,,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca009@fiestainsurance.com,fiestaca009@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA009@fiestainsurance.com,7
CA009,22-Jul-18,854.36,0.00,,,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca009@fiestainsurance.com,fiestaca009@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA009@fiestainsurance.com,7
CA010,20-Jul-18,351.41,0.00,,,470.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA010@fiestainsurance.com,7
CA010,21-Jul-18,239.00,0.00,,,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA010@fiestainsurance.com,7
CA011,20-Jul-18,"3,021.56",0.00,,,788.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA011@fiestainsurance.com,7
CA011,21-Jul-18,"1,623.22",0.00,,,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA011@fiestainsurance.com,7
CA011,22-Jul-18,"2,278.90",0.00,,,203.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA011@fiestainsurance.com,7
CA012,20-Jul-18,"6,957.44",0.00,,,"1,557.69",0.00,,0.00,,0.00,0.00,0.00,0.00,,,fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA012@fiestainsurance.com,7
