Store,Report Date,End of Day Deposit,Actual Deposit,Deposit Over/(Short),Date Deposit Made,End of Day Credit Cards,Actual Credit Cards,Over/(Short) Credit Cards,VOID Credits,Payout To/(From),Payout Check,Scanning Violation Fees,Deposit Violation Fees,A/R Violation Fees,Violation Fees Total,Comments,Email,Email 2,Email 3,Email 4,Email 5,Email 6,Email_Store,Month Number,Report Month
CA001,10-Jul-18,"3,209.99",0,,,755.35,0,,0,,0,0,0,0,,,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA001@fiestainsurance.com,7,
CA002,10-Jul-18,"4,327.02",0,,,986.31,0,,0,,0,0,0,0,,,fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA002@fiestainsurance.com,7,
CA003,10-Jul-18,"2,944.12",0,,,0,0,,0,,0,0,0,0,,,fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA003@fiestainsurance.com,7,
CA004,10-Jul-18,"3,496.57",0,,,"1,437.94",0,,0,,0,0,0,0,,,fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA004@fiestainsurance.com,7,
CA005,10-Jul-18,"1,585.48",0,,,0,0,,0,,0,0,0,0,,,fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA005@fiestainsurance.com,7,
CA006,10-Jul-18,"5,998.12",0,,,"1,513.04",0,,0,,0,0,0,0,,,fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA006@fiestainsurance.com,7,
CA007,10-Jul-18,597.36,0,,,"1,025.00",0,,0,,0,0,0,0,,,fiestaca007@fiestainsurance.com,fiestaca015@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA007@fiestainsurance.com,7,
CA008,10-Jul-18,"3,617.90",0,,,448,0,,0,,0,0,0,0,,,fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA008@fiestainsurance.com,7,
CA009,10-Jul-18,"2,152.47",0,,,0,0,,0,,0,0,0,0,,,fiestaca009@fiestainsurance.com,fiestaca009@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA009@fiestainsurance.com,7,
CA010,10-Jul-18,931.46,0,,,280,0,,0,,0,0,0,0,,,fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA010@fiestainsurance.com,7,
