Store,Report Date,End of Day Deposit,Actual Deposit,Date Deposit Made,Deposit Over/(Short),End of Day Credit Cards,Actual Credit Cards,Over/(Short) Credit Cards,VOID Credits,Payout To/From,Payout Check,Scanning Violation Fees,Deposit Violation Fees,A/R Violation Fees,Violation Fees Total,Comments,Report Month,Month Number,Email,Email 2,Email 3,Email 4,Email 5,Email 6,ZOHO_EMAIL_1,ZOHO_EMAIL_2
CA001,09/01/17,4033.28,4033.28,09/05/17,0,2263.64,0,-2263.64,0,0,0,0,0,0,0,,September,9,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,
CA001,09/02/17,3512.27,3512.27,09/05/17,0,1658.39,0,-1658.39,0,0,0,0,0,0,0,,September,9,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,
CA001,09/05/17,6439.07,6439.07,09/06/17,0,2266.32,0,-2266.32,0,0,0,0,0,0,0,,September,9,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,
CA001,09/06/17,2329.98,2329.98,09/07/17,0,1902.54,0,-1902.54,0,0,0,0,0,0,0,,September,9,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,
CA001,09/07/17,2496.89,2496.89,09/08/17,0,350.06,0,-350.06,0,0,0,0,0,0,0,,September,9,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,
CA001,09/08/17,4559.19,4559.19,09/11/17,0,935.39,0,-935.39,0,0,0,0,0,0,0,,September,9,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,
CA001,09/09/17,2409.85,2409.85,09/11/17,0,586.93,0,-586.93,0,0,0,0,0,0,0,,September,9,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,
CA001,09/11/17,7395.01,7395.01,09/12/17,0,963.02,0,-963.02,0,0,0,0,0,0,0,,September,9,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,
CA001,09/12/17,3368.78,3368.78,09/13/17,0,1118.29,0,-1118.29,0,0,0,0,0,0,0,,September,9,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,
CA001,09/13/17,2355.93,2355.93,09/14/17,0,0,0,0,0,0,0,0,0,0,0,,September,9,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,
CA001,09/14/17,3504.86,3504.86,09/15/17,0,85,0,-85,0,0,0,0,0,10,10,1-AR,September,9,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,
CA001,09/15/17,4562.2,4562.2,09/18/17,0,869.7,0,-869.7,0,0,0,0,0,20,20,2-RP,September,9,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,
