Store,Report Date,End of Day Deposit,Actual Deposit,Deposit Over/(Short),Date Deposit Made,End of Day Credit Cards,Actual Credit Cards,Over/(Short) Credit Cards,VOID Credits,Payout To/(From),Payout Check,Scanning Violation Fees,Deposit Violation Fees,A/R Violation Fees,Violation Fees Total,Comments,Report Month,Email,Email 2,Email 3,Email 4,Email 5,Email 6,Email_Store,Month Number,ZOHO_EMAIL_1,ZOHO_EMAIL_2,NUMBER
CA099,7-Aug-18,1991.87,1907.41,8-Aug-18,-84.46,1666.62,0,-1666.62,0,-84.46,0,125,50,30,205,"SVP- PAGE 3 & 4 MISSING MIL4171746

SVP- PAGE 11 OF 11 IS MISSING MIL4171808

SVP- NO APP/ NO BFA MIL4171881

SVP- NO APP/ NO BFA MIL4172135

SVP- PAGE 11 OF 11 IS MISSING MIL4172773

DVP-SHORT

AR-2

MIRANDA MORENO YURI ELIZABETH 08/06/2018 RECEIPT VOID REQ. ",August,8,fiestaca099@fiestainsurance.com,fiestaca099@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,,260
CA041,15-Aug-18,1924.41,1924.41,16-Aug-18,0,0,0,0,0,0,0,0,0,50,50,"EFT CLEAN-UP 07/18/2018 PY CRUZGOMEZ SEBASTIAN 104601581835001

EFT CLEAN-UP 07/21/2018 PY SANCHEZ FELIPE 104601363362001

EFT CLEAN UP 07/21/2018 PY CUAHUTLE JOSE LUIS MIL3351614

EFT CLEAN-UP 07/23/2018 PY ROSASMORENO NICOLASA 104601444628001

AR-1",August,8,fiestaca041@fiestainsurance.com,fiestaca041@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,,250
CA027,8-Aug-18,383.47,383.47,9-Aug-18,0,170,0,-170,0,0,0,25,0,50,75,"EFT CLEAN-UP 07/12/2018 PY R3J NETWORK SERVICES JOHN RUBIO DBA 18159

EFT CLEAN-UP 07/13/2018 PY ALBIZU ERWIN ON TIME DELIVER INC CL1673700E

EFT CLEAN-UP 07/16/2018 PY RAYMUNDO FERNANDO MIL4055916

SVP- NO APP/NO BFA 4485125

AR-2",August,8,fiestaca027@fiestainsurance.com,fiestaca027@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,,231
CA006,8-Aug-18,4871.82,4871.82,9-Aug-18,0,1567,0,-1567,0,0,0,25,0,50,75,"EFT CLEAN-UP 07/11/2018 PY MEDRANO SANTOS OLGA MIL4085500

EFT CLEAN-UP 07/15/2018 PY LOPEZ CALIXTO MIL3988369

EFT CLEAN-UP 07/17/2018 PY MARTINEZ ESMERALDA ORIBIO

SVP- NO APP/ NO BFA MIL4173297

AR-2",August,8,fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,,202
CA042,15-Aug-18,1946.22,1946.22,16-Aug-18,0,0,0,0,0,0,0,0,0,40,40,"EFT CLEAN-UP 07/18/2018 PY MARTINEZ CRUZ ALEJANDRO MIL3858707

EFT CLEAN-UP 07/18/2018 PY VEGAGOMEZ ROCENDO 504610066723001

EFT CLEAN-UP 07/21/2018 PY MARTINEZ LOPEZ MAXIMILIANO MNS3274809

AR-1",August,8,fiestaca099@fiestainsurance.com,fiestaca099@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,,195
CA002,8-Aug-18,3460.13,3460.87,9-Aug-18,0.74,2017,0,-2017,0,0.74,0,100,50,10,160,"EFT CLEAN-UP 07/16/2018 PY VERDIA MARIO 100400119

SVP- NO APP/ NO BFA 15621

SVP- NO APP/ NO BFA KBBRG-00015713-00

SVP- NO APP/ NO BFA KBBRG-00015704-00

SVP- INC. APP. MIL4173992

DVP-OVER",August,8,fiestaca002@fiestainsurance.com,fiestaca006@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,,191
CA023,3-Aug-18,2454.64,2454.64,6-Aug-18,0,438.88,0,-438.88,0,0,0,0,0,30,30,"MARTINEZ ALVARADO ALFONSO 07/17/2018 RECEIPT VOID REQ.

MONTANO MORENO GUSTAVO 07/25/2018 RECEIPT VOID REQ. 

CHITALA JOSE 07/27/2018 RECEIPT VOID REQ.  

WAS 2464.64 SB 2454.64 VOID ERROR",August,8,fiestaca023@fiestainsurance.com,fiestaca026@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,,188
CA050,8-Aug-18,2486.04,2486.04,9-Aug-18,0,622,0,-622,0,0,0,0,0,30,30,"EFT CLEAN-UP 07/12/2018 PY DEANEAU GORDON GPSV-00032238-01

EFT CLEAN-UP 07/13/2018 PY CARRETO MENDEZ EFRAIN RAMIRO 

EFT CLEAN-UP 07/17/2018 PY FLORES VENEGAS MAURO MIL3747690",August,8,fiestaca050@fiestainsurance.com,fiestaca066@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,,176
CA082,21-Aug-18,287.94,287.94,22-Aug-18,0,788,0,-788,0,0,0,150,0,0,150,"SVP- INC APP. MIL4187122

SVP- NO APP ON FILE. 2006855685

SVP- INC APP. MIL4187315

SVP- INC APP. MIL4187924

SVP- INC APP. MIL4188148

SVP- INC APP. MIL4188270",August,8,fiestaca082@fiestainsurance.com,fiestaca082@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,,161
CA167,17-Aug-18,372.92,372.92,20-Aug-18,0,173.12,0,-173.12,0,0,0,0,0,20,20,"VALDEZ MELENDREZ JESUS DE JESUS 08/12/2018 RECEIPT VOID REQ. 

CASTILLO CORTES DULCE PAOLA 08/12/2018 RECEIPT VOID REQ. 

WAS 382.92 SB 372.92 VOID ERROR ",August,8,fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,,154
