Store,Report Date,End of Day Deposit,Actual Deposit,Deposit Over/(Short),Date Deposit Made,End of Day Credit Cards,Actual Credit Cards,Over/(Short) Credit Cards,VOID Credits,Payout To/(From),Payout Check,Scanning Violation Fees,Deposit Violation Fees,A/R Violation Fees,Violation Fees Total,Comments,Report Month,Email,Email 2,Email 3,Email 4,Email 5,Email 6,Email_Store,Month Number
CA147,21-May-18,($9.32),$0.00 ,,,"$1,210.53 ",$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,fiestaca023@fiestainsurance.com,fiestaca026@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA147@fiestainsurance.com,5
CA168,21-May-18,($157.22),$0.00 ,,,$369.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaCA168@fiestainsurance.com,5
IL003,21-May-18,($16.16),$0.00 ,,,$178.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaIL003@fiestainsurance.com,5
IL004,21-May-18,$38.85 ,$0.00 ,,,$99.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,fiestaca023@fiestainsurance.com,fiestaca023@fiestainsurance.com,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaIL004@fiestainsurance.com,5
NM001,21-May-18,"$1,161.52 ",$0.00 ,,,$155.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaNM001@fiestainsurance.com,5
NM002,21-May-18,"$2,461.50 ",$0.00 ,,,$220.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaNM002@fiestainsurance.com,5
NM003,21-May-18,"$1,063.06 ",$0.00 ,,,$192.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaNM003@fiestainsurance.com,5
NM004,21-May-18,$796.18 ,$0.00 ,,,$339.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaNM004@fiestainsurance.com,5
NM005,21-May-18,$316.50 ,$0.00 ,,,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaNM005@fiestainsurance.com,5
OH001,21-May-18,"$1,555.27 ",$0.00 ,,,$144.90 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,May,#N/A,#N/A,acc@fiestainsurance.com,#N/A,acoss@fiestainsurance.com,mfaulkner@fiestainsurance.com,fiestaOH001@fiestainsurance.com,5
