Store,Report Date,End of Day Deposit,Actual Deposit,Deposit Over/(Short),Date Deposit Made,End of Day Credit Cards,Actual Credit Cards,Over/(Short) Credit Cards,VOID Credits,Payout To/(From),Payout Check,Scanning Violation Fees,Deposit Violation Fees,A/R Violation Fees,Violation Fees Total,Comments,Report Month,Month Number,Email,Email 2,Email 3,Email 4,Email 5,Email 6,Email_Store,ZOHO_EMAIL_1,ZOHO_EMAIL_2
CA001,1-Aug-18,2647.24,2647.24,0,2-Aug-18,543.74,0,-543.74,0,0,0,0,0,0,0,,August,8,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,
CA001,2-Aug-18,3204.92,3204.92,0,3-Aug-18,575.36,0,-575.36,0,0,0,0,0,10,10,,August,8,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,
CA001,3-Aug-18,2759.2,2759.2,0,6-Aug-18,598.48,0,-598.48,0,0,0,0,0,0,0,,August,8,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,
CA001,4-Aug-18,2946.25,2946.25,0,6-Aug-18,835.88,0,-835.88,0,0,0,0,0,0,0,,August,8,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,
CA001,6-Aug-18,8498.75,8498.75,0,7-Aug-18,924.17,0,-924.17,0,0,0,0,0,0,0,,August,8,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,
CA001,7-Aug-18,2830.06,2830.06,0,8-Aug-18,1651.42,0,-1651.42,0,0,0,0,0,0,0,,August,8,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,
CA001,8-Aug-18,3078.77,3078.77,0,9-Aug-18,157.04,0,-157.04,0,0,0,0,0,0,0,,August,8,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,
CA001,9-Aug-18,3519.17,3519.17,0,10-Aug-18,556.39,0,-556.39,0,0,0,0,0,0,0,,August,8,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,
CA001,10-Aug-18,3619.41,3619.41,0,13-Aug-18,1583.24,0,-1583.24,0,0,0,0,0,10,10,,August,8,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,
CA001,11-Aug-18,3428.93,3428.93,0,13-Aug-18,1252.44,0,-1252.44,0,0,0,0,0,0,0,,August,8,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,
CA001,13-Aug-18,6852.63,6852.63,0,14-Aug-18,708.9,0,-708.9,0,0,0,0,0,0,0,,August,8,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,
CA001,15-Aug-18,2449.81,2449.81,0,16-Aug-18,585.93,0,-585.93,0,0,0,0,0,0,0,,August,8,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,
CA001,16-Aug-18,4081.32,4081.32,0,17-Aug-18,461,0,-461,0,0,0,0,0,10,10,,August,8,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,
CA001,17-Aug-18,4420.01,4420.01,0,20-Aug-18,292,0,-292,0,0,0,0,0,10,10,,August,8,fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,acc_ca@fiestainsurance.com,mfaulkner@fiestainsurance.com,mfaulkner@fiestainsurance.com,,,
