Store,Date,Gross Commissions,Commissions Percentage Tier 1,Commissions Tier 1,Commissions Percentage Tier 2,Commissions Tier 2,Total Commissions,Tax Preparation Revenue,Number of Tax Returns,Royalty Per Return,Tax Royalties,Net Tax Revenue,Total Revenue,Hourly Wages,Overtime,Bonus & Commissions,Payroll Taxes - ER,Workers Comp Insurance,Payroll Processing Fees,Policy Manager,Licenses and Permits,Rating Software,Motor Vehicle Reports,Loan Due From Franchisee,Minimum Royalty Fee,Servicing Fee,Trade Shows,Trust Acctg - A/R,Telephone,Postage,Television/Radio,Licenses & Permits,Trust Acct Shortage/Overage,Internet,On Hold Recording,Scanning Violation Penalty,Deposit Violation Penalty,Bad Debts,Print,Reimbursed Fees - Other,Gas,D&S Memberships,E&O Insurance,Rent,Supplies,Building/Office,Referral Fees,Small Equip Purchases Under$500,Small FF&E Under$500,Legal Fees,CAM Charges,Cell Phone,Security,Electricity,Accounting Violation Penalty,Advertising,DOI Appointment Fees,Notes,DOI License Fee,Entrepreneur Magazine,Franchise Gator Leads,Franchise Guide Supplies,Franchise Times Magazine,Leads,SEO (Search Engine Optimization),Renewals,Tax Software,Other Transactions,Previous Unpaid Balance,Total Deductions,Balance Due To/(From) Franchise,Email,Email 2,Email 3,Email 4,Email 5,Email 6
CA001,30-Jun-18,"$36,624.06",82.50%,"$17,839.85",77.50%,"$11,625.00","$29,464.85",$185.00,1,$30.00,-$30.00,$155.00,"$29,619.85",,,,,,,$200.00,,,,,,,,$0.12,,,,,,,,$25.00,,,,,,,,,,,,,,,,,,,$30.00,"$1,200.00",,"$500 Fee In ""Other Transactions"" Is For National Conference",,,,,,,,"$2,000.00",,$500.00,,"$3,955.12","$25,664.73",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA002,30-Jun-18,"$24,128.57",85.00%,"$7,759.28",80.00%,"$12,000.00","$19,759.28",$0.00,2,$30.00,-$60.00,-$60.00,"$19,699.28",,,,,,,$200.00,,,$20.97,,,,,$694.05,,,,,,,,$75.00,,,,,,,,,,,,,,,,,,,$170.00,"$1,200.00",,"$500 Fee In ""Other Transactions"" Is For National Conference",,,,,,,,,,$500.00,,"$2,860.02","$16,839.26",fiestaca002@fiestainsurance.com,fiestaca002@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA003,30-Jun-18,"$25,251.07",85.00%,"$8,713.41",80.00%,"$12,000.00","$20,713.41",$0.00,0,$0.00,$0.00,$0.00,"$20,713.41",,,,,,,$200.00,,,$46.60,,,,,$898.41,$424.77,,,,,,,$75.00,,,,,,,,"$3,067.00",,,,,,,$700.00,,,,$100.00,"$1,200.00",,"$500 Fee In ""Other Transactions"" Is For National Conference",,,,,,,,,,$500.00,,"$7,211.78","$13,501.63",fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA004,30-Jun-18,"$25,326.00",85.00%,"$8,777.10",80.00%,"$12,000.00","$20,777.10","$2,108.90",5,$30.00,-$150.00,"$1,958.90","$22,736.00",,,,,,,$200.00,,,,"$2,208.30",,,,$142.15,,,,,,,,,,,,$468.00,,,,,,,,,,,,,,,$70.00,"$1,200.00",,"$500 Fee In ""Other Transactions"" Is For National Conference",,,,,,,,,,$500.00,,"$4,788.45","$17,947.55",fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA005,30-Jun-18,"$13,952.90",80.00%,"$11,162.32",,,"$11,162.32",$550.00,1,$30.00,-$30.00,$520.00,"$11,682.32",,,,,,,$200.00,,,,,,,,,,,,,,,,$25.00,,,,,,,,"$3,485.98",,,,,,$700.00,,,,,$50.00,"$1,200.00",,,,,,,,,,,,,,"$5,660.98","$6,021.34",fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA006,30-Jun-18,"$46,366.28",85.00%,"$26,661.34",80.00%,"$12,000.00","$38,661.34",$0.00,3,$30.00,-$90.00,-$90.00,"$38,571.34",,,,,,,$200.00,,,,,,,,"$1,157.19",,,,,,,,$50.00,,,,,,,,,,,,,,,,,,,$220.00,"$1,200.00",,,,,,,,,,,,,,"$2,827.19","$35,744.15",fiestaca002@fiestainsurance.com,fiestaca002@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA007,30-Jun-18,"$18,601.13",85.00%,"$3,060.96",80.00%,"$12,000.00","$15,060.96",$0.00,0,$0.00,$0.00,$0.00,"$15,060.96",,,,,,,$200.00,,,,,,,,,$394.28,,,,,,,,$50.00,,,,,,,"$3,504.05",,,,,,,,,,$155.73,$40.00,"$1,200.00",,"$500 Fee In ""Other Transactions"" Is For National Conference",,,,,,,,,,$500.00,,"$6,044.06","$9,016.90",fiestaca007@fiestainsurance.com,fiestaca007@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA008,30-Jun-18,"$19,549.21",85.00%,"$3,866.83",80.00%,"$12,000.00","$15,866.83",$0.00,0,$0.00,$0.00,$0.00,"$15,866.83",,,,,,,$200.00,,,,,,,,$151.10,,,,$29.00,$0.24,,,$125.00,$150.00,,,,,,,,,,,,,,,,,,$90.00,"$1,200.00",,,,,,,,,,,,,,"$1,945.34","$13,921.49",fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA009,30-Jun-18,"$14,793.45",75.00%,"$11,095.09",,,"$11,095.09",$0.00,9,$30.00,-$270.00,-$270.00,"$10,825.09",,,,,,,$200.00,,$232.75,,,,,,$201.24,$694.39,,,,,,,$325.00,,,,,,,,"$4,034.61",,,,,,,,,,$267.61,$160.00,"$1,200.00",,"$500 Fee In ""Other Transactions"" Is For National Conference",,,,,,,,,,$500.00,,"$7,815.60","$3,009.49",fiestaca009@fiestainsurance.com,fiestaca009@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA010,30-Jun-18,"$6,776.55",80.00%,"$5,421.24",,,"$5,421.24",$0.00,0,$0.00,$0.00,$0.00,"$5,421.24",,,,,,,$200.00,,,,"$1,729.85",,,,,,,,,,,,,$50.00,,,,,,,,,,,,,,,,,,,"$1,220.83",,,,,,,,,,,,,,"$3,200.68","$2,220.56",fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
CA011,30-Jun-18,"$16,880.87",85.00%,"$1,598.74",80.00%,"$12,000.00","$13,598.74",$0.00,1,$30.00,-$30.00,-$30.00,"$13,568.74",,,,,,,$200.00,,,,,,,,,,,,,-$0.05,,,,$50.00,,,,,,,,,,,,,,,,,,,"$1,781.31",,"$500 Fee In ""Other Transactions"" Is For National Conference",,,,,,,,,,$500.00,,"$2,531.26","$11,037.48",fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,fiestaoperations@fiestainsurance.com,adominguez@fiestainsurance.com,
