Store,Date,Gross Commissions,Commissions Percentage Tier 1,Commissions Tier 1,Commissions Percentage Tier 2,Commissions Tier 2,Total Commissions,Tax Preparation Revenue,Number of Tax Returns,Royalty Per Return,Tax Royalties,Net Tax Revenue,Total Revenue,Hourly Wages,Overtime,Bonus & Commissions,Payroll Taxes - ER,Workers Comp Insurance,Payroll Processing Fees,Policy Manager,Licenses and Permits,Rating Software,Motor Vehicle Reports,Loan Due From Franchisee,Minimum Royalty Fee,Servicing Fee,Trade Shows,Trust Acctg - A/R,Telephone,Postage,Television/Radio,Licenses & Permits,Trust Acct Shortage/Overage,Internet,On Hold Recording,Scanning Violation Fees,Deposit Violation Fees,Bad Debts,Print,Reimbursed Fees - Other,Gas,D&S Memberships,E&O Insurance,Rent,Supplies,Building/Office,Referral Fees,Small Equip Purchases Under$500,Small FF&E Under$500,Legal Fees,CAM Charges,Cell Phone,Security,Electricity,AR Violation Fees,Advertising,DOI Appointment Fees,Notes,DOI License Fee,Entrepreneur Magazine,Franchise Gator Leads,Franchise Guide Supplies,Franchise Times Magazine,Leads,SEO (Search Engine Optimization),Sign - Installment,Signature Pad,Other Transactions,Previous Unpaid Balance,Total Deductions,Balance Due To/(From) Franchise,Email,Email 2,Email 3,
AZ001,1/31/2013,"$1,812.43",75.00%,"$1,359.32",,,"$1,359.32",$0.00,0,$0.00,$0.00,$0.00,"$1,359.32",,,,,,,$150.00,,,,,,,,$98.66,,,,,,,,$150.00,$100.00,,,,,,$458.24,,,,,,,,,,,,$20.00,,,,,,,,,,,,,,,$976.90,$382.42,fiestaaz001@fiestainsurance.com,fiestaaz001@fiestainsurance.com,acc@fiestainsurance.com,
AZ002,1/31/2013,"$1,337.52",75.00%,"$1,003.14",,,"$1,003.14",$0.00,0,$0.00,$0.00,$0.00,"$1,003.14",,,,,,,$150.00,,,,,,,,$24.02,,,,,-59.17,,,$25.00,,,,,,,$458.24,,,,,,,,,,,,$30.00,,,,,,,,,,,,,,,$628.09,$375.05,fiestaaz002@fiestainsurance.com,fiestaaz002@fiestainsurance.com,acc@fiestainsurance.com,
AZ003,1/31/2013,"$1,223.81",75.00%,$917.86,,,$917.86,$0.00,0,$0.00,$0.00,$0.00,$917.86,,,,,,,$150.00,,,,,,,,$789.19,,,,,,,,$25.00,$50.00,,,,,,$458.24,,,,,,,,,,,,$90.00,,,,,,,,,,,,,,,"$1,562.43",-$644.57,fiestaaz003@fiestainsurance.com,fiestaaz003@fiestainsurance.com,acc@fiestainsurance.com,
CA001,1/31/2013,"$25,835.75",85.00%,"$9,210.39",80.00%,"$12,000.00","$21,210.39",$0.00,0,$0.00,$0.00,$0.00,"$21,210.39",,,,,,,$150.00,,,,,,,,$126.18,,,,,"4,375.61",,,$200.00,$50.00,,,,,,$458.24,,,,,,,,,,,,$50.00,,,,,,,,,,,,,,,"$5,410.03","$15,800.36",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,
CA002,1/31/2013,"$10,626.84",80.00%,"$8,501.47",,,"$8,501.47",$0.00,0,$0.00,$0.00,$0.00,"$8,501.47",,,,,,,$150.00,,,,,,,,$630.54,,,,,,,,$50.00,,,,,,,$458.24,,,,,,,,,,,,$60.00,,,,,,,,,,,,,,,"$1,348.78","$7,152.69",fiestaca002@fiestainsurance.com,fiestaca002@fiestainsurance.com,acc@fiestainsurance.com,
CA003,1/31/2013,"$4,984.19",77.50%,"$3,862.75",,,"$3,862.75",$0.00,0,$0.00,$0.00,$0.00,"$3,862.75",,,,,,,$150.00,,,,$500.00,,,,,$184.80,,,$576.64,117.77,,,$25.00,$50.00,,,,,,$458.24,"$2,452.50",,,,,,,$700.00,,,,,,,,,,,,,,,,,,"$12,419.74","$5,214.95","-$13,771.94",fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,
CA004,1/31/2013,"$18,269.44",85.00%,"$2,779.02",80.00%,"$12,000.00","$14,779.02",$0.00,0,$0.00,$0.00,$0.00,"$14,779.02",,,,,,,$150.00,,,,,,,,$155.82,,,,,-10.70,,,$50.00,,,,,,,$458.24,,,,,,,,,,,,$20.00,,,,,,,,,,,,,,,$823.36,"$13,955.66",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,
CA005,1/31/2013,"$4,941.44",80.00%,"$3,953.15",,,"$3,953.15",$0.00,0,$0.00,$0.00,$0.00,"$3,953.15",,,,,,,$150.00,,,,,,,,$5.00,,,,$22.00,-119.00,,,$50.00,,,,,,,$458.24,"$2,505.75",,,,,,,,,,,$10.00,,,,,,,,,,,,,,,"$3,081.99",$871.16,fiestaca001@fiestainsurance.com,fiestaca005@fiestainsurance.com,acc@fiestainsurance.com,
CA006,1/31/2013,"$27,295.32",85.00%,"$10,451.02",80.00%,"$12,000.00","$22,451.02",$0.00,0,$0.00,$0.00,$0.00,"$22,451.02",,,,,,,$150.00,,,,,,,,$586.97,,,,,0.06,,,,,,,,,,$458.24,,,,,,,,,,,,$100.00,,,,,,,,,,,,,,,"$1,295.27","$21,155.75",fiestaca002@fiestainsurance.com,fiestaca002@fiestainsurance.com,acc@fiestainsurance.com,
CA007,1/31/2013,"$6,560.49",100.00%,"$6,560.49",,,"$6,560.49",$0.00,0,$0.00,$0.00,$0.00,"$6,560.49",,,,,,,$150.00,,,,,,,,$57.00,$334.67,,,$66.00,182.19,,,$25.00,$50.00,,,,,,$458.24,"$4,051.83",,,,,,,"$1,662.00",,$114.00,$186.84,$10.00,,,,,,,,,,,,,,,"$7,347.77",-$787.28,fiestaca007@fiestainsurance.com,fiestaca007@fiestainsurance.com,acc@fiestainsurance.com,
