Store,Date,Gross Commissions,Commissions Percentage,Commissions,Commissions Percentage,Commissions,Total Commissions,Tax Preparation Revenue,Less: Tax Royalties Multiplicand,Less: Tax Royalties Multiplier,Less: Tax Royalties Product,Net Tax Revenue,Total Revenue,Hourly Wages,Overtime,Bonus & Commissions,Payroll Taxes - ER,Workers Comp Insurance,Payroll Processing Fees,Policy Manager,Licenses and Permits,Rating Software,Motor Vehicle Reports,Loans due from Franchisee,Minimum Royalty Fee,Servicing Fee,Trade Shows,Trust Acctg - A/R,Telephone,Postage,Television/Radio,Licenses & Permits,Trust Acct Shortage/Overage,Internet,On Hold Recording,Acctg - Scanning Violation Penalties,Acctg - Deposit Violation Penalties,Bad Debts,Print,Reimbursed Fees - Other,Gas,D&S Memberships,E&O Insurance,Basic Rent,Basic Supplies,Building/Office,Referral Fees,Small Equip Purchases Under$500,Small FF&E Under$500,Legal Fees,CAM Charges,Cell Phone,Security,Electricity,Acctg - Accounting Violation Penalties,Advertising,Appointment Fees,Arrow Protection,DOI License Fee,Entrepreneur Magazine,Franchise Gator Leads,Franchise Guide Supplies,Franchise Times Magazine,Leads,SEO (Search Engine Optimization),Renewal Fee,Incentive,Max Shield,Total Deductions,Previous Unpaid Balance,Balance Due To/(From) Franchise
CA001,Sep-17,"$34,847.91",82.50%,"$16,374.53",77.50%,"$11,625.00","$27,999.53",$279.95,1,$30.00,-$30.00,$249.95,"$28,249.48",,,,,,,$200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$40.00,"$1,200.00",,,,,,,,,,,,,"$1,440.00",,"$26,809.48"
CA002,Sep-17,"$27,969.79",85.00%,"$11,024.32",80.00%,"$12,000.00","$23,024.32",$0.00,2,$30.00,-$60.00,-$60.00,"$22,964.32",,,,,,,$200.00,,,,,,,,$800.87,,,,,$0.20,,,,$100.00,,,,,,,,,,,,,,,,,,$230.00,"$1,200.00",,,,,,,,,,,,,"$2,531.07",,"$20,433.25"
CA003,Sep-17,"$26,780.22",85.00%,"$10,013.19",80.00%,"$12,000.00","$22,013.19",$0.00,2,$30.00,-$60.00,-$60.00,"$21,953.19",,,,,,,$200.00,,,,,,,,"$1,493.06",$424.13,,,,,,,,$50.00,,,,,,,"$3,067.00",,,,,,,$700.00,,,,$130.00,"$1,200.00",,,,,,,,,,,,,"$7,264.19",,"$14,689.00"
CA004,Sep-17,"$24,656.61",85.00%,"$8,208.12",80.00%,"$12,000.00","$20,208.12",$449.95,1,$30.00,-$30.00,$419.95,"$20,628.07",,,,,,,$200.00,,,,,,,,"$1,329.51",,,,,,,,,,,,,,,,,,,,,,,,,,,$80.00,"$1,200.00",,,,,,,,,,,,$44.95,"$2,854.46",,"$17,773.61"
CA005,Sep-17,"$9,878.34",80.00%,"$7,902.67",,,"$7,902.67",$0.00,0,$0.00,$0.00,$0.00,"$7,902.67",,,,,,,$200.00,,,,,,,,,,,,,-$1.17,,,,,,,,,,,"$3,434.47",,,,,,,,,,,$10.00,"$1,200.00",,,,,,,,,,,,,"$4,843.30",,"$3,059.37"
CA006,Sep-17,"$40,829.66",85.00%,"$21,955.21",80.00%,"$12,000.00","$33,955.21",$0.00,0,$0.00,$0.00,$0.00,"$33,955.21",,,,,,,$200.00,,,,,,,,$198.91,,,,,$0.90,,,,$50.00,,,,,,,,,,,,,,,,,,$210.00,"$1,200.00",,,,,,,,,,"$2,000.00",,,"$3,859.81",,"$30,095.40"
CA007,Sep-17,"$11,696.26",77.50%,"$9,064.60",,,"$9,064.60",$0.00,0,$0.00,$0.00,$0.00,"$9,064.60",,,,,,,$200.00,,,,,,,,$140.65,$393.92,,,,,,,,,,,,,,,"$3,504.05",,,,,,,,,,$237.22,$20.00,"$1,200.00",,,,,,,,,,,,,"$5,695.84",,"$3,368.76"
CA008,Sep-17,"$18,628.69",85.00%,"$3,084.39",80.00%,"$12,000.00","$15,084.39",$0.00,0,$0.00,$0.00,$0.00,"$15,084.39",,,,,,,$200.00,,,,,,,,"$1,158.87",,,,,-$10.47,,,$50.00,$50.00,,,,,,,,,,,,,,,,,,$110.00,"$1,200.00",,,,,,,,,,,,,"$2,758.40",,"$12,325.99"
CA009,Sep-17,"$21,790.95",80.00%,"$5,432.76",75.00%,"$11,250.00","$16,682.76",$211.95,4,$30.00,-$120.00,$91.95,"$16,774.71",,,,,,,$200.00,,$232.75,,,,,,$434.71,$693.60,,,,$0.01,,,$150.00,$100.00,,,,,,,"$3,949.51",,,,,,,,,,$320.33,$60.00,"$1,200.00",,,,,,,,,,"$2,000.00",,$134.85,"$9,475.76",,"$7,298.95"
CA010,Sep-17,"$5,187.21",80.00%,"$4,149.77",,,"$4,149.77",$0.00,0,$0.00,$0.00,$0.00,"$4,149.77",,,,,,,$200.00,,,,,,,,"$2,934.72",,,,,-$1.00,,,$100.00,$150.00,,,,,,,,,,,,,,,,,,"$1,090.00","$1,179.17",,,,,,,,,,,,,"$5,652.89",,"-$1,503.12"
