Store,Date,Gross Commissions,Commissions Percentage Tier 1,Commissions Tier 1,Commissions Percentage Tier 2,Commissions Tier 2,Total Commissions,Tax Preparation Revenue,Number of Tax Returns,Royalty Per Return,Tax Royalties,Net Tax Revenue,Total Revenue,Hourly Wages,Overtime,Bonus & Commissions,Payroll Taxes - ER,Workers Comp Insurance,Payroll Processing Fees,Policy Manager,Licenses and Permits,Rating Software,Motor Vehicle Reports,Loan Due From Franchisee,Minimum Royalty Fee,Servicing Fee,Trade Shows,Trust Acctg - A/R,Telephone,Postage,Television/Radio,Licenses & Permits,Trust Acct Shortage/Overage,Internet,On Hold Recording,Scanning Violation Penalty,Deposit Violation Penalty,Bad Debts,Print,Reimbursed Fees - Other,Gas,D&S Memberships,E&O Insurance,Rent,Supplies,Building/Office,Referral Fees,Small Equip Purchases Under$500,Small FF&E Under$500,Legal Fees,CAM Charges,Cell Phone,Security,Electricity,Accounting Violation Penalty,Advertising,DOI Appointment Fees,Notes,DOI License Fee,Entrepreneur Magazine,Franchise Gator Leads,Franchise Guide Supplies,Franchise Times Magazine,Leads,SEO (Search Engine Optimization),Renewals,Tax Software & Services,Other Transactions,Previous Unpaid Balance,Total Deductions,Balance Due To/(From) Franchise,Email,Email 2,Email 3,Email 4,Email 5,
CA001,31-May-18,"$44,381.74",82.50%,"$24,239.94",77.50%,"$11,625.00","$35,864.94","$15,319.00",120,$30.00,"-$3,600.00","$11,719.00","$47,583.94",,,,,,,$200.00,,,,,,,,$148.30,,,,,$0.10,,,$50.00,$50.00,,,,,,,,,,,,,,,,,,$100.00,"$1,200.00",,,,,,,,,,,,,,"$1,748.40","$45,835.54",fiestaca001@fiestainsurance.com,fiestaca001@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA002,31-May-18,"$29,599.94",85.00%,"$12,409.95",80.00%,"$12,000.00","$24,409.95","$2,947.00",22,$30.00,-$660.00,"$2,287.00","$26,696.95",,,,,,,$200.00,,,,,,,,$333.00,,,,,$0.07,,,$25.00,$100.00,,,,,,,,,,,,,,,,,,$110.00,"$1,200.00",,,,,,,,,,,,,,"$1,968.07","$24,728.88",fiestaca002@fiestainsurance.com,fiestaca002@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA003,31-May-18,"$30,287.81",85.00%,"$12,994.64",80.00%,"$12,000.00","$24,994.64",$322.00,19,$30.00,-$570.00,-$248.00,"$24,746.64",,,,,,,$200.00,,,,,,,,"$1,832.18",$432.09,,,$29.00,,,,$75.00,$50.00,,,,,,,"$3,067.00",,,,,,,$700.00,,,,$180.00,"$1,200.00",,,,,,,,,,,,,,"$7,765.27","$16,981.37",fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA004,31-May-18,"$24,955.29",85.00%,"$8,462.00",80.00%,"$12,000.00","$20,462.00","$45,130.65",170,$30.00,"-$5,100.00","$40,030.65","$60,492.65",,,,,,,$200.00,,,,,,,,"$1,119.00",,,,,,,,$50.00,,,,,,,,,,,,,,,,,,,$120.00,"$1,200.00",,,,,,,,,,"$2,000.00",,,,"$4,689.00","$55,803.65",fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA005,31-May-18,"$10,187.38",80.00%,"$8,149.90",,,"$8,149.90","$3,587.00",40,$30.00,"-$1,200.00","$2,387.00","$10,536.90",,,,,,,$200.00,,,,,,,,$724.33,,,,,$0.01,,,$75.00,$50.00,,,,,,,"$3,485.98",,,,,,,,,,,$140.00,"$1,200.00",,,,,,,,,,,,,,"$5,875.32","$4,661.58",fiestaca004@fiestainsurance.com,fiestaca004@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA006,31-May-18,"$43,293.79",85.00%,"$24,049.72",80.00%,"$12,000.00","$36,049.72","$5,200.05",51,$30.00,"-$1,530.00","$3,670.05","$39,719.77",,,,,,,$200.00,,,,,,,,$537.23,,,,,,,,$25.00,,,,,,,,,,,,,,,,,,,$170.00,"$1,200.00",,,,,,,,,,,,,,"$2,132.23","$37,587.54",fiestaca002@fiestainsurance.com,fiestaca002@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA007,31-May-18,"$17,300.61",85.00%,"$1,955.52",80.00%,"$12,000.00","$13,955.52",$0.00,3,$30.00,-$90.00,-$90.00,"$13,865.52",,,,,,,$200.00,,,,$75.00,,,,$109.62,$401.88,,,,,,,$50.00,,,,,,,,"$3,504.05",,,,,,,,,,$91.27,$100.00,"$1,200.00",,,,,,,,,,,,,,"$5,731.82","$8,133.70",fiestaca007@fiestainsurance.com,fiestaca007@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA008,31-May-18,"$24,232.16",85.00%,"$7,847.34",80.00%,"$12,000.00","$19,847.34",$0.00,0,$0.00,$0.00,$0.00,"$19,847.34",,,,,,,$200.00,,,,,,,,"$2,983.52",,,,,$728.67,,,$100.00,$250.00,,,,,,,,,,,,,,,,,,$210.00,"$1,200.00",,,,,,,,,,,,,,"$5,672.19","$14,175.15",fiestaca003@fiestainsurance.com,fiestaca003@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA009,31-May-18,"$23,123.06",80.00%,"$6,498.45",75.00%,"$11,250.00","$17,748.45","$17,754.85",159,$30.00,"-$4,770.00","$12,984.85","$30,733.30",,,,,,,$200.00,,,,"$1,761.99",,,,"$1,628.81",$701.86,,,,$0.02,,,$225.00,$50.00,,,,,,,"$4,034.61",,,,,,,,,,$218.08,$270.00,"$1,200.00",,,,,,,,,,,,,,"$10,290.37","$20,442.93",fiestaca009@fiestainsurance.com,fiestaca009@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
CA010,31-May-18,"$4,978.46",80.00%,"$3,982.77",,,"$3,982.77",$157.95,1,$30.00,-$30.00,$127.95,"$4,110.72",,,,,,,$200.00,,,,"$1,754.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,200.00",,,,,,,,,,"$2,000.00",,,,"$5,154.85","-$1,044.13",fiestaca011@fiestainsurance.com,fiestaca011@fiestainsurance.com,acc@fiestainsurance.com,jonathanp@fiestainsurance.com,mfaulkner@fiestainsurance.com,
